time,date,Source,News_Headlines
11.17 am,2010-11-19,CNBC-TV18,TCS to remain in Rs 940-1030 range: Amit Gupta
11.05 am,2010-11-20,CNBC-TV18,Pick TCS closer to Rs 920-930: Sushil Kedia
8.41 am,2010-11-21,CNBC-TV18,"Buy TCS, says Rakesh Gandhi"
8.30 am,2010-11-22,CNBC-TV18,Super Six trading ideas for the day
9.45 pm,2010-11-23,PTI,Mahindra Satyam to develop IRDA's IT project 
2.11 pm,2010-11-24,CNBC-Awaaz,"Invest in TCS, says Salil Sharma"
11.09 am,2010-11-25,CNBC-TV18,Infosys has support at Rs 2170: Manghnani
10.45 am,2010-11-26,PTI,"TCS, Cognizant race ahead of Infy, Wipro: Brokerage firms"
6.51 pm,2010-11-27,PTI,"TCS, Felda Prodata sign a strategic collaboration"
11.05 am,2010-11-28,CNBC-TV18,"Hold short positions in Infosys, TCS, Wipro: Bhamre"
10.36 am,2010-11-29,CNBC-TV18,Stay away from education space: PN Vijay
10.21 am,2010-11-30,CNBC-TV18,"Buy IT stocks, says PN Vijay"
2.55 pm,2010-12-01,CNBC-TV18,HCL Tech has support around Rs 370: LKP
2.57 pm,2010-12-02,CNBC-TV18,"Short TCS, says Nooresh Mirani"
11.51 am,2010-12-03,CNBC-TV18,"Bull's Eye: Buy Jet Airways, BHEL, TCS, Eros International"
7.19 pm,2010-12-04,CNBC-TV18,"Metal, auto stocks look good at current levels: Agarwal"
7.00 pm,2010-12-05,CNBC-TV18,"TCS to outperform, says Salil Sharma"
10.00 am,2010-12-06,Reuters,TCS bids $500m for Lufthansa IT unit: Report
6.53 pm,2010-12-07,CNBC-TV18,"IT, metal spaces look weak: Mohindar"
6.26 pm,2010-12-08,CNBC-TV18,TCS best pick in IT space: Bandyopadhyay
12.05 pm,2010-12-09,CNBC-TV18,"Adequately hedged for rest of the fiscal, says TCS"
11.08 am,2010-12-10,Reuters,Services sector growth slows to over 2-year low
8.36 am,2010-12-11,CNBC-TV18,"Short TCS, says Arunesh Madan"
8.28 am,2010-12-12,CNBC-TV18,6 stock ideas to liven up your trade
8.33 am,2010-12-13,CNBC-TV18,Buy TCS for target of Rs 1065: LKP
9.57 am,2010-12-14,CNBC-TV18,"TCS, Infosys good bet, says Hemant Thukral"
11.26 am,2010-12-15,CNBC-TV18,"Book profits in Infosys, says Anil Manghnani"
10.52 am,2010-12-16,CNBC-TV18,Downtrend in IT space will continue: Gautam Shah
5.23 pm,2010-12-17,CNBC-TV18,Tata Steel may slip to Rs 420: Agarwal
9.52 am,2010-12-18,CNBC-TV18,"HCL Tech, Infosys, TCS look good for long term: Anu Jain"
1.30 pm,2010-12-19,CNBC-TV18,Engaging with IT is not a price game but a value game: TCS
5.57 pm,2010-12-20,CNBC-TV18,TCS looks an attractive bet: Chakraborty
5.53 pm,2010-12-21,CNBC-TV18,Verma`s view on IT space
5.51 pm,2010-12-22,CNBC-TV18,TCS may slip to Rs 800: Bala
5.33 pm,2010-12-23,CNBC-TV18,"Short L&T;, Reliance: Mohindar"
1.38 pm,2010-12-24,CNBC-TV18,Edelweiss Securities neutral on IT space
1.27 pm,2010-12-25,CNBC-Awaaz,"Buy TCS, says Ashish Chaturmohta"
10.25 am,2010-12-26,CNBC-TV18,"Amit Gupta's view on Infosys, TCS"
6.37 pm,2010-12-27,CNBC-TV18,Avoid long positions in TCS: Way2Wealth
10.32 pm,2010-12-28,PTI,Ratan Tata launches book on TCS
1.32 pm,2010-12-29,PTI,TCS to provide IT solutions to Deutsche Bk capital mkts biz
12.12 pm,2010-12-30,CNBC-TV18,"Ambitions beyond SUVs, M&M; to take off in aviation"
3.58 pm,2010-12-31,CNBC-TV18,Rahul Mohindar cautious on IT space
2.08 pm,2011-01-01,CNBC-TV18,"Prefer TCS, Infosys to Wipro, says Sharmila Joshi"
6.21 pm,2011-01-02,CNBC-TV18,TCS may slip to Rs 955- 950: Agarwal
6.11 pm,2011-01-03,CNBC-TV18,Prabhudas Lilladher underweight on IT sector
2.17 pm,2011-01-04,Moneycontrol.com,TCS Sept qtr PAT seen up 3.6% at Rs 2466 cr: Emkay
10.59 am,2011-01-05,CNBC-TV18,Infosys may cut $ revenue growth guidance for FY12: Kotak
4.09 pm,2011-01-06,CNBC-TV18,See more upside in Infosys: Aditya Agarwal
11.28 am,2011-01-07,CNBC-TV18,Suresh Mahadevan negative on IT space
11.21 am,2011-01-08,CNBC-TV18,"Buy TCS on declines, says Amit Gupta"
12.44 pm,2011-01-09,Moneycontrol.com,IT Sector: Currency tailwinds set to boost Q2 earnings
12.09 pm,2011-01-10,Moneycontrol.com,IT Sector: Currency tailwinds set to boost Q2 earnings
4.35 pm,2011-01-11,Reuters,"Infosys, TCS to show sales growth; outlook uncertain"
4.05 pm,2011-01-12,Reuters,"Infosys, TCS to show sales growth, outlook uncertain"
11.49 am,2011-01-13,CNBC-TV18,Infosys a safe bet: VK Sharma
10.59 am,2011-01-14,CNBC-TV18,HCL Technologies can test Rs 420: Manghnani
10.15 am,2011-01-15,Reuters,"Barclays starts India tech cover; Infy, HCL 'overweight'"
8.34 am,2011-01-16,CNBC-TV18,"Sell TCS, says Sanjeev Agarwal"
8.22 am,2011-01-17,CNBC-TV18,Super Six stocks you can bet on Oct 5
11.08 am,2011-01-18,CNBC-TV18,Infosys may slip to Rs 2320-2350: Bhamre
6.13 pm,2011-01-19,CNBC-TV18,Mehta`s view on IT space
1.39 pm,2011-01-20,CNBC-TV18,HCL Tech a good bet: Hemang Jani
11.12 am,2011-01-21,CNBC-TV18,"Short TCS, says Anil Manghnani"
5.17 pm,2011-01-22,CNBC-TV18,Infosys may rally upto Rs 2640: Mohindar
7.15 pm,2011-01-23,CNBC-TV18,"Forex volatility worrisome, pricing may dip in Q3: TCS"
7.05 pm,2011-01-24,Reuters,TCS Q2 profit up 14.7%
6.58 pm,2011-01-25,IBNLive.com,PN Vijay`s view on TCS
6.55 pm,2011-01-26,CNBC-TV18,PN Vijay`s view on IT space
4.33 pm,2011-01-27,Moneycontrol.com,Hold TCS; target Rs 1206: R K Global
3.34 pm,2011-01-28,CNBC-Awaaz,"Hold TCS, says Puneet Kinra"
1.26 pm,2011-01-29,Moneycontrol.com,TCS Q2 revenue seen up 9% at Rs 11750 cr
11.31 am,2011-01-30,CNBC-TV18,TCS Q2FY12: Expect margins to increase by 60 bps says IIFL
10.09 am,2011-01-31,Moneycontrol.com,TCS Q2 net profit seen up 2.9% at Rs 2450 cr
4.50 pm,2011-02-01,Moneycontrol.com,Will TCS follow Infosys' footsteps and please the street?
3.42 pm,2011-02-02,CNBC-Awaaz,"Buy TCS, says Rohit Shinde"
2.26 pm,2011-02-03,CNBC-Awaaz,Invest in IT stocks: Devang Mehta
5.15 pm,2011-02-04,CNBC-TV18,TCS may move upto Rs 1200: PN Vijay
3.55 pm,2011-02-05,PTI,"IT cos record 19% revenue growth to Rs 4,38,296 cr in FY11"
3.51 pm,2011-02-06,CNBC-Awaaz,"Invest in TCS, says Salil Sharma"
11.49 am,2011-02-07,Moneycontrol.com,Switch to Infosys from TCS: Prabhudas Lilladher
10.20 am,2011-02-08,CNBC-TV18,"Q2FY12: Optimistic Infy sees no budget cuts, better pricing"
8.46 am,2011-02-09,CNBC-TV18,"Sell TCS, says Nooresh Mirani"
8.33 am,2011-02-10,CNBC-TV18,6 intraday picks to make smart gains
9.35 pm,2011-02-11,PTI,CMC consolidated Q2 net profit dips 25pc to Rs 32.6 cr
11.15 am,2011-02-12,Moneycontrol.com,Hold TCS; target of Rs 1145: PINC Research
10.41 am,2011-02-13,CNBC-TV18/Mint,TCS may come down to Rs 960-970: Bhamre
9.58 am,2011-02-14,CNBC-TV18,"Below Rs 390, HCL Tech can slip to Rs 360: Manghnani"
6.57 pm,2011-02-15,CNBC-TV18,TCS support seen around Rs 998- 1000: Paul
6.49 pm,2011-02-16,CNBC-TV18,Chakraborty`s view on IT space
5.25 pm,2011-02-17,Reuters,HCL Tech net in-line; shares tank on global outlook
4.00 pm,2011-02-18,Moneycontrol.com,Accumulate TCS; target of Rs 1270: Dolat Capital
1.32 pm,2011-02-19,CNBC-TV18,Enter TCS: Angel Broking
12.51 pm,2011-02-20,Moneycontrol.com,"How to trade RIL, SBI, HDFC Bank, TCS in volatile market"
12.43 pm,2011-02-21,CNBC-Awaaz,Buy TCS for short term: Jatinder Sharma
12.26 pm,2011-02-22,CNBC-TV18,"Hold HCL Tech, says Sandip Agarwal"
12.25 pm,2011-02-23,CNBC-TV18,"All okay with TCS results, only a quarterly issue: Antique"
11.18 am,2011-02-24,CNBC-TV18,"Avoid Wipro, HCL Tech: Sandeep Bhatia"
10.41 am,2011-02-25,Moneycontrol.com,TCS Q2 results fail to excite street; stock tanks 7%
10.32 am,2011-02-26,CNBC-TV18,"HCL Tech looks weak, says Amit Gupta"
9.00 am,2011-02-27,CNBC-TV18,Volatile Indian mkt pulled us down: TCS on Q2 results
8.26 am,2011-02-28,CNBC-TV18,"Sell TCS, says Hemen Kapadia"
8.14 am,2011-03-01,CNBC-TV18,Super Six: Top chart picks for Tuesday
8.27 pm,2011-03-02,PTI,"TCS recruits 20,349 in July-Sept period"
7.15 pm,2011-03-03,Moneycontrol.com,TCS Q2 net up 15%; says economic uncertainty remains
5.43 pm,2011-03-04,CNBC-TV18,Buy IT stocks at current levels: Paul
2.01 pm,2011-03-05,CNBC-TV18,"Buy Pantaloon, Shoppers Stop on dip: Sukhani"
12.33 pm,2011-03-06,Moneycontrol.com,Unicon recommends 8 stocks for long term investment
8.36 pm,2011-03-07,PTI,TCS targetting 1000 customers in SMB segment this year
6.25 pm,2011-03-08,CNBC-TV18,Sudarshan Sukhani`s views on IT Stocks
6.12 pm,2011-03-09,CNBC-TV18,Buy frontline stocks with long term perspective: Bhat
9.16 am,2011-03-10,CNBC-TV18,"IT deal pipelines intact, will flow for next 10 yrs: TCS"
11.20 am,2011-03-11,PTI,2-day world economic forum kicks off in Mumbai
4.32 pm,2011-03-12,Moneycontrol.com,"TCS bags $2.2 bn order, says pipeline good"
9.00 am,2011-03-13,CNBC-TV18,"Buy TCS, says Sudarshan Sukhani"
9.07 am,2011-03-14,CNBC-TV18,"Buy TCS, says Sudarshan Sukhani"
2.21 pm,2011-03-15,CNBC-TV18,"Wipro, HCL Tech will outperform: Sukhani"
6.48 pm,2011-03-16,PTI,"Foreign investors cut exposure to Tata, Ambani groups"
7.20 pm,2011-03-17,Moneycontrol.com,Hold TCS; target of Rs 1200: Unicon Investment
10.31 am,2011-03-18,CNBC-TV18,TCS has support at Rs 1000-1050: Vora
5.49 pm,2011-03-19,CNBC-TV18,"Hexaware, NIIT Tech look good in IT space: Irani"
2.09 pm,2011-03-20,CNBC-TV18,More downside in Crompton Greaves: Hemang Jani
10.35 am,2011-03-21,CNBC-TV18,Buy TCS 1050 put: VK Sharma
3.42 pm,2011-03-22,CNBC-Awaaz,"Invest in TCS, says Dharmesh Kant"
11.40 am,2011-03-23,Moneycontrol.com,Buy TCS; target of Rs 1140: PLilladher
8.42 pm,2011-03-24,Reuters,TCS pips Reliance to become India's most valuable firm
5.58 pm,2011-03-25,CNBC-TV18,"Infosys, TCS, Wipro top IT picks for 2012: Sukhani"
4.54 pm,2011-03-26,CNBC-TV18,"TCS, Infosys top picks in frontliners: Salil Sharma"
11.17 am,2011-03-27,CNBC-TV18,"Pradhan bullish on TCS, Infosys"
10.43 am,2011-03-28,CNBC-TV18,"Infosys has resistance around Rs 2840, says Anu Jain"
10.36 am,2011-03-29,CNBC-TV18,"TCS looks very strong, may test to Rs 1200 levels: Anu Jain"
2.12 pm,2011-03-30,CNBC-TV18,"TCS, Infosys top picks in IT space, says Devang Mehta"
10.26 am,2011-03-31,Moneycontrol.com,TCS to set up software development centre in Nagpur
3.02 pm,2011-04-01,Moneycontrol.com,Buy TCS; target of Rs 1328: Firstcall Research
8.36 pm,2011-04-02,PTI,Macro-economy to remain challenge for IT sector in '12: TCS
8.26 am,2011-04-03,CNBC-TV18,Super Six stocks you can bet on Dec 15
11.30 am,2011-04-04,CNBC-TV18,Wipro a top pick: Siddharth Bhamre
3.17 pm,2011-04-05,CNBC-TV18,Hold TCS for long term: LKP
3.54 pm,2011-04-06,CNBC-TV18,ACC may rally upto Rs 1280- 1290: Mohindar
3.24 pm,2011-04-07,Moneycontrol.com,"Alpha trade: Long TCS, short Nifty says ICICIdirect.com"
2.43 pm,2011-04-08,CNBC-TV18,"Wipro top pick in IT space, says Sukhani"
11.10 am,2011-04-09,Reuters,Services sector rebounds in November
4.40 pm,2011-04-10,CNBC-TV18,"Add Infosys, TCS in your portfolio: Mohindar"
2.35 pm,2011-04-11,CNBC-TV18,SBI can go upto Rs 1900: LKP
9.45 am,2011-04-12,CNBC-TV18,Buy Divis Laboratories: Sudarshan Sukhani
12.00 pm,2011-04-13,CNBC-TV18,"HCL Tech a best bet in IT space, says Mukherjea"
1.00 pm,2011-04-14,Moneycontrol.com,IT sector results preview for Q3FY12: Angel
2.02 pm,2011-04-15,PTI,TCS adds 200 clients on its SME platform iON
12.00 pm,2011-04-16,CNBC-TV18,"IT space may outperform, says Mahadevan"
9.47 am,2011-04-17,CNBC-TV18,"HDFC Bank may slip further to Rs 410, says Sukhani"
6.24 pm,2011-04-18,Moneycontrol.com,Key things to watch out for in HCL Tech Q2 earnings
5.29 pm,2011-04-19,Moneycontrol.com,Key things to watch out for in TCS Q3 earnings
2.53 pm,2011-04-20,CNBC-TV18,TCS may touch Rs 1138-1139: LKP
1.39 pm,2011-04-21,CNBC-TV18,Sukhani's view on TCS
7.09 pm,2011-04-22,CNBC-TV18,TCS' arm CMC adds 21 clients in Q3; tax rate down to 29.2%
1.55 pm,2011-04-23,CNBC-TV18,Prefer TCS over Infosys: Devang Mehta
11.27 am,2011-04-24,CNBC-TV18,"IT sector: TCS could steal the show in FY13, says JPMorgan"
10.16 am,2011-04-25,CNBC-TV18,Buy TCS: Sudarshan Sukhani
11.49 am,2011-04-26,CNBC-TV18,Won't scale down FY13 EPS estimate for Infosys: Antique
10.27 am,2011-04-27,CNBC-TV18,"See lower level in TCS, says Sudarshan Sukhani"
5.11 pm,2011-04-28,CNBC-TV18,"More upside seen in Hindalco, says Sukhani"
10.49 am,2011-04-29,CNBC-TV18,Infosys Q3 results: What you can expect from the IT major
7.13 pm,2011-04-30,Moneycontrol.com,IT sector results preview for Q3FY12: PLilladher
6.51 pm,2011-05-01,Moneycontrol.com,Technology sector results preview for Q3FY12: Motilal Oswal
2.21 pm,2011-05-02,CNBC-TV18,"Prefer BHEL, L&T;, says Sukhani"
10.01 am,2011-05-03,CNBC-TV18,TCS has resistance at Rs 1200-1230: Shruti Vora
10.45 am,2011-05-04,CNBC-TV18,HCL Tech can go upto Rs 443: Anu Jain
1.18 pm,2011-05-05,CNBC-TV18,"Infosys, HCL Tech strong bets in IT space, says Bodke"
5.27 pm,2011-05-06,CNBC-TV18,"TCS a top pick in IT space, says Radhika Gupta"
3.49 pm,2011-05-07,Moneycontrol.com,Weak demand to offset rupee decline gains for IT cos in Q3
12.15 pm,2011-05-08,Moneycontrol.com,Hold TCS; target Rs 1206: R K Global
5.00 pm,2011-05-09,Moneycontrol.com,Hold TCS; target Rs 1136: KRChoksey
2.58 pm,2011-05-10,Moneycontrol.com,Hold TCS; target of Rs 1075: Emkay
2.38 pm,2011-05-11,CNBC-TV18,Short TCS around Rs 1100-1120: Atul Badkar
12.55 pm,2011-05-12,Moneycontrol.com,Buy TCS; target of Rs 1230: Prabhudas Lilladher
12.47 pm,2011-05-13,Moneycontrol.com,SMC Global`s view on TCS
12.43 pm,2011-05-14,Moneycontrol.com,Accumulate TCS; target of Rs 1280: Unicon Investment
12.39 pm,2011-05-15,Moneycontrol.com,Accumulate TCS; target of Rs 1262: Angel Broking
12.32 pm,2011-05-16,Moneycontrol.com,Buy TCS; target of Rs 1340: Arihant capital markets
6.41 pm,2011-05-17,CNBC-TV18,"HCL Tech, TCS look good, says Bandyopadhyay"
3.48 pm,2011-05-18,Moneycontrol.com,Buy TCS; target of Rs 1426: Dolat Capital
12.49 pm,2011-05-19,Moneycontrol.com,Accumulate TCS; target of Rs 1200: PINC Research
11.08 am,2011-05-20,CNBC-TV18,Sukhani's view on TCS
8.48 am,2011-05-21,CNBC-TV18,TCS expects better growth in Q4; pricing to remain stable
9.00 pm,2011-05-22,CNBC-TV18,CNBC-TV18 India Business Leader Awards honours India Inc
6.45 pm,2011-05-23,Moneycontrol.com,TCS Q3 cons net up 23% YoY on outsourcing demand
11.38 am,2011-05-24,Moneycontrol.com,TCS Q3 revenue seen up 14% to Rs 13230 cr
11.36 am,2011-05-25,CNBC-TV18,"Stay invested in TCS, says Devang Mehta"
10.00 am,2011-05-26,CNBC-TV18,Expect TCS to post 4% volume growth: Prabhudas Lilladher
6.34 pm,2011-05-27,Moneycontrol.com,TCS Q3 PAT seen up 18.6% at Rs 2893 cr
3.39 pm,2011-05-28,CNBC-TV18,Avoid long trade in TCS: Abhijit Paul
2.53 pm,2011-05-29,CNBC-TV18,"HDFC may slip to Rs 620, says Kulkarni"
10.04 am,2011-05-30,CNBC-TV18,"Buy TCS at current level, says Sukhani"
11.07 am,2011-05-31,Moneycontrol.com,Buy TCS; target Rs 1380: Firstcall Research
1.12 pm,2011-06-01,CNBC-TV18,Sukhani's view on Reliance Industries
6.04 pm,2011-06-02,Moneycontrol.com,"Hold TCS; target Rs 1,262: R K Global"
12.24 pm,2011-06-03,CNBC-TV18,IT can see acquisitions in $50-400m range in 2012: TCS
1.05 pm,2011-06-04,CNBC-TV18,"Visa rejection issues not new, need to manage it: TCS"
12.53 pm,2011-06-05,CNBC-TV18,"Situation to take time to improve, deal demand strong: TCS"
8.00 pm,2011-06-06,Reuters,TCS sees rise in 'discretionary spending'
6.38 pm,2011-06-07,CNBC-TV18,11-14% IT growth forecast for FY13 conservative say players
9.00 am,2011-06-08,CNBC-TV18,"Buy TCS on dip, says Sudarshan Sukhani"
6.00 pm,2011-06-09,CNBC-TV18,"Bharti Airtel may slip to Rs 320- 325, says Mohindar"
4.58 pm,2011-06-10,CNBC-TV18,Eyeing $500m revenues from Japan in 3-5 years: TCS
3.30 pm,2011-06-11,Reuters,"TCS, Mitsubishi to invest USD 5 m in JV"
6.42 pm,2011-06-12,CNBC-TV18,"Visa rejections on the rise, says TCS' MD & CEO"
4.56 pm,2011-06-13,CNBC-TV18,"Infosys, TCS top picks in IT space, says Sukhani"
5.18 pm,2011-06-14,Moneycontrol.com,Hold TCS; target of Rs 1203: BP Equities
4.56 pm,2011-06-15,Moneycontrol.com,Buy TCS; target of Rs 1165: FIFL
1.26 pm,2011-06-16,CNBC-TV18,"Earnings analysis: More misses than hits, says Hemang Jani "
10.23 am,2011-06-17,Business Line,"Cyrus Mistry, OP Bhatt join TCS board"
8.51 am,2011-06-18,CNBC-TV18,Sukhani's view on TCS
8.36 am,2011-06-19,Reuters,Judge grants class action status to Tata wage suit
11.17 am,2011-06-20,CNBC-TV18,"Bull's Eye: Buy TCS, Shree Renuka, Century Textiles, IVRCL"
11.16 am,2011-06-21,Reuters,"Infosys, TCS drop on US visa reports"
5.00 pm,2011-06-22,Reuters,TDC signs IT deal with TCS
11.00 am,2011-06-23,Reuters,"As US election looms, Indian IT seeks image makeover"
11.29 am,2011-06-24,Moneycontrol.com,Way2Wealth neutral on Tata Consultancy Services
5.27 pm,2011-06-25,CNBC-TV18,"Buy TCS, Larsen and Toubro on dips: Sukhani"
3.14 pm,2011-06-26,CNBC-TV18,TCS can move to Rs 1220: Shardul Kulkarni
1.24 pm,2011-06-27,CNBC-TV18,TCS may slip to Rs 1120: Jitendra Panda
6.24 pm,2011-06-28,CNBC-TV18,TCS has strong support around Rs 1040- 1050: Sukhani
1.12 pm,2011-06-29,CNBC-TV18,Sukhani's view on TCS
11.00 pm,2011-06-30,PTI,Budget Reactions: No exemption vis-a-vis SEZ income from MAT upsetting: TCS
2.56 pm,2011-07-01,CNBC-TV18,TCS has support around Rs 1140: Shardul Kulkarni
10.00 am,2011-07-02,CNBC-TV18,Crompton Greaves may rally to Rs 154: Manghnani
11.18 am,2011-07-03,CNBC-TV18,Anil Manghnani`s view on IT space
11.25 am,2011-07-04,CNBC-TV18,"Bull's Eye: Short HDIL, Dena Bank; buy TCS, ITC"
11.13 am,2011-07-05,CNBC-TV18,"Bull's Eye: Buy TCS, Infosys, Sterlite Ind; Short Sesa Goa"
8.43 am,2011-07-06,CNBC-TV18,Super Six stocks you can bet on Feb 27
8.23 am,2011-07-07,CNBC-TV18,Confident of beating NASSCOM's FY13 guidance of 11-14%: TCS
8.04 am,2011-07-08,CNBC-TV18,"TCS Q4 revenues jump 30.5% YoY to Rs 13,259.3 cr"
6.05 pm,2011-07-09,Moneycontrol.com,"TCS Q4 net up 23% YoY at Rs 2,932.4 crore"
5.35 pm,2011-07-10,CNBC-TV18,"TCS may outperform, says Bhat"
12.44 pm,2011-07-11,CNBC-TV18,"TCS Q4 EBIT likely to fall 5% at Rs 3,675 cr"
11.26 am,2011-07-12,CNBC-TV18,"Bull's Eye: Buy Balaji Tele, TCS, M&M;, HUL, Sun Pharma"
9.53 am,2011-07-13,CNBC-TV18,"TCS Q4 PAT seen down 1.7% at Rs 2,837 cr"
8.00 am,2011-07-14,Moneycontrol.com,Key things to watch out for in TCS Q4 earnings 
12.22 pm,2011-07-15,CNBC-TV18,Buy TCS 1100 Put Option: Motilal Oswal
6.00 pm,2011-07-16,CNBC-TV18,"HCL Tech, Wipro look good, says Amisha Vora"
11.08 am,2011-07-17,CNBC-TV18,"Hemant Thukral's view on TCS, Infosys"
10.25 am,2011-07-18,CNBC-TV18,"Sell TCS, says Sudarshan Sukhani"
9.43 am,2011-07-19,Moneycontrol.com,"Q4 Results 2012: Infosys delivers shocker, what's the real problem?"
11.46 am,2011-07-20,Moneycontrol.com,"Expects IT sector guidance, outlook to be soft: P Lilladher"
11.42 am,2011-07-21,Reuters,"Infosys, TCS to feel the heat of competition, U.S. election"
11.13 am,2011-07-22,CNBC-TV18,"Infosys Vs TCS? Pick Wipro, says IIFL"
3.31 pm,2011-07-23,Moneycontrol.com,MOST expects IT revenue weakness in 4QFY12 to be more
2.09 pm,2011-07-24,Moneycontrol.com,"IT cos to report muted growth in Jan-Mar, FY13 outlook key"
11.55 am,2011-07-25,Moneycontrol.com,IT Q4 earnings growth to be a mixed bag: Angel
11.36 am,2011-07-26,Moneycontrol.com,Emkay expects a subdued quarter from IT sector
9.52 pm,2011-07-27,CNBC-TV18,"Indian IT on see saw: TCS, HCL Tech lead in Q4"
6.27 pm,2011-07-28,CNBC-TV18,"Tandon`s view on TCS, Axis Bank, ICICI Bank"
5.24 pm,2011-07-29,Moneycontrol.com,"Hold TCS; target Rs 1,217: KRChoksey"
5.20 pm,2011-07-30,Moneycontrol.com,Buy TCS; target Rs 1276: Angel Broking
2.23 pm,2011-07-31,Moneycontrol.com,Hold TCS; target Rs 1150: Emkay
11.20 am,2011-08-01,CNBC-TV18,Prefer TCS in IT sapce: Suresh Mahadevan
5.24 pm,2011-08-02,CNBC-TV18,TCS remains top pick in IT space: Bandyopadhyay
5.16 pm,2011-08-03,CNBC-TV18,S&P; downgrade fails to dent SAP's India mood
3.27 pm,2011-08-04,Moneycontrol.com,Hold TCS; target of Rs 1150: Emkay
3.20 pm,2011-08-05,Moneycontrol.com,Hold TCS; target of Rs 1290: Arihant capital markets
10.52 am,2011-08-06,Moneycontrol.com,Buy TCS; target of Rs 1230: PLilladher
5.58 pm,2011-08-07,CNBC-TV18,"Hold TCS, says Sandeep Singal"
5.44 pm,2011-08-08,CNBC-TV18,TCS looks good in IT space: PN Vijay
5.25 pm,2011-08-09,Moneycontrol.com,Key things to watch out for in Wipro Q4 earnings
4.32 pm,2011-08-10,Moneycontrol.com,"TCS Mar '12 sales at Rs 10,371.71 crore"
2.46 pm,2011-08-11,CNBC-TV18,Go long in TCS on dips: Shardul Kulkarni
1.36 pm,2011-08-12,CNBC-TV18,"Stay invested in TCS, says Jagannadham Thunuguntla"
1.05 pm,2011-08-13,Moneycontrol.com,Is TCS the new IT bellwether?
12.24 pm,2011-08-14,Moneycontrol.com,Buy TCS; target of Rs 1370: Dolat Capital
9.35 am,2011-08-15,CNBC-TV18,TCS can touch Rs 1160: Siddharth Bhamre
11.54 am,2011-08-16,Moneycontrol.com,TCS third time at No.1 in client satisfaction survey
5.34 pm,2011-08-17,CNBC-TV18,TCS looks attractive at current level: Malkani
1.45 pm,2011-08-18,Moneycontrol.com,"Buy HCL Tech, TCS on dips: Sukhani"
12.09 pm,2011-08-19,Moneycontrol.com,Infosys may slip to Rs 2200: Siddharth Bhamre
11.15 am,2011-08-20,Moneycontrol.com,Buy TCS on any decline: Sukhani
2.57 pm,2011-08-21,Moneycontrol.com,"Cipla, TCS, Mphasis safe bets: Sukhani"
1.36 pm,2011-08-22,Moneycontrol.com,TCS recognized as Big Four IT Services brand
1.35 pm,2011-08-23,Moneycontrol.com,TCS recognized as Big Four IT Services brand
2.27 pm,2011-08-24,Moneycontrol.com,Hold TCS; target Rs 1270: Way2Wealth
11.07 am,2011-08-25,CNBC-TV18,"Buy TCS, says Sukhani"
8.56 am,2011-08-26,CNBC-TV18,Super Six stocks you can bet on May 4
11.12 am,2011-08-27,CNBC-TV18,TCS can test Rs 1400: Rahul Mohindar
11.10 am,2011-08-28,CNBC-TV18,Expect 10% upside in TCS: TS Harihar
10.50 am,2011-08-29,CNBC-TV18,TCS can go above Rs 1300-1350: Jai Bala
5.58 pm,2011-08-30,CNBC-TV18,"Midcap IT stocks to give best returns, says Mehta"
5.17 pm,2011-08-31,CNBC-TV18,"TCS, Maruti Suzuki top picks: Bandyopadhyay"
9.10 am,2011-09-01,CNBC-TV18,"Buy TCS, says Sudarshan Sukhani"
1.57 pm,2011-09-02,Moneycontrol.com,Buy TCS; target of Rs 1370: Firstcall Research
1.25 pm,2011-09-03,CNBC-TV18,"Buy TCS on decline, says Vishal Malkan"
10.42 am,2011-09-04,CNBC-TV18,"Buy TCS, says Sudarshan Sukhani"
3.00 pm,2011-09-05,Moneycontrol.com,"Sukhani's view on RIL, TCS"
2.30 pm,2011-09-06,CNBC-TV18,"Buy TCS on dips, says Rahul Mohindar"
9.37 pm,2011-09-07,PTI,TCS to pay Rs 8-cr commission to Ratan Tata for FY12
4.50 pm,2011-09-08,CNBC-TV18,"Buy Sesa Goa, TCS; avoid Sterlite Industries: Sukhani"
9.35 am,2011-09-09,CNBC-TV18,Super Six: Top chart picks for June 18
9.49 am,2011-09-10,CNBC-TV18,"See further gain in Infosys, TCS: Karun Mutha"
4.30 pm,2011-09-11,Moneycontrol.com,TCS completes 4th annual goIT summer camp
10.22 am,2011-09-12,CNBC-TV18,Amit Gupta' view on TCS
1.33 pm,2011-09-13,Moneycontrol.com,Accumulate TCS; target of Rs 1270: PLilladher
2.18 pm,2011-09-14,Moneycontrol.com,Hold TCS; target of Rs 1329: Nirmal Bang
10.07 am,2011-09-15,CNBC-TV18,"Buy IT stocks on dip, says PN Vijay"
4.55 pm,2011-09-16,Moneycontrol.com,Motilal Oswal neutral on Tata Consultancy Services
3.09 pm,2011-09-17,PTI,"Rs 1,000 investment in RIL in 1977 now worth Rs 7.78 lakh"
1.12 pm,2011-09-18,Reuters,"Cash piles up at RIL, growth cycle slowing?"
5.08 pm,2011-09-19,CNBC-TV18,"ICICI Bank, TCS good bets: Sukhani"
12.11 pm,2011-09-20,Moneycontrol.com,"Buy Divis Labs, TCS: Sukhani"
11.01 am,2011-09-21,CNBC-TV18,TCS a top pick in IT space: Abhijit Chakraborty
9.02 am,2011-09-22,CNBC-TV18,"Bull's Eye: Buy TCS, JP Associates, Cox & Kings, DHFL"
